name,Adduct,mz,Polarity,FullName
Isovaleric acid,[M+CH3COO]-,161.08195,negative,Isovaleric acid_[M+CH3COO]-
Valeric acid,[M+CH3COO]-,161.08195,negative,Valeric acid_[M+CH3COO]-
Cadaverine,[M+CH3COO]-,161.12957,negative,Cadaverine_[M+CH3COO]-
Dimethylglycine,[M+CH3COO]-,162.0772,negative,Dimethylglycine_[M+CH3COO]-
(S)-2-aminobutyric acid,[M+CH3COO]-,162.0772,negative,(S)-2-aminobutyric acid_[M+CH3COO]-
4-Aminobutyric acid,[M+CH3COO]-,162.0772,negative,4-Aminobutyric acid_[M+CH3COO]-
bata-Hydroxypyruvic acid,[M+CH3COO]-,163.02483,negative,bata-Hydroxypyruvic acid_[M+CH3COO]-
Malonic acid,[M+CH3COO]-,163.02483,negative,Malonic acid_[M+CH3COO]-
DL-a-Hydroxybutyric acid,[M+CH3COO]-,163.06122,negative,DL-a-Hydroxybutyric acid_[M+CH3COO]-
(R)-3-Hydroxybutyric acid,[M+CH3COO]-,163.06122,negative,(R)-3-Hydroxybutyric acid_[M+CH3COO]-
DL-3-Hydroxybutyric acid,[M+CH3COO]-,163.06122,negative,DL-3-Hydroxybutyric acid_[M+CH3COO]-
beta-Hydroxybutyrate,[M+CH3COO]-,163.06122,negative,beta-Hydroxybutyrate_[M+CH3COO]-
Choline,[M+CH3COO]-,163.12141,negative,Choline_[M+CH3COO]-
DL-Serine,[M+CH3COO]-,164.05646,negative,DL-Serine_[M+CH3COO]-
L-Serine,[M+CH3COO]-,164.05646,negative,L-Serine_[M+CH3COO]-
Glyceric acid,[M+CH3COO]-,165.04048,negative,Glyceric acid_[M+CH3COO]-
Quinone,[M+CH3COO]-,167.035,negative,Quinone_[M+CH3COO]-
Hypotaurine,[M+CH3COO]-,168.03362,negative,Hypotaurine_[M+CH3COO]-
"1,4-Dihydroxybenzene",[M+CH3COO]-,169.05065,negative,"1,4-Dihydroxybenzene_[M+CH3COO]-"
Pyrocatechol,[M+CH3COO]-,169.05065,negative,Pyrocatechol_[M+CH3COO]-
Pyrrole-2-carboxylic acid,[M+CH3COO]-,170.0459,negative,Pyrrole-2-carboxylic acid_[M+CH3COO]-
Cytosine,[M+CH3COO]-,170.05713,negative,Cytosine_[M+CH3COO]-
Histamine,[M+CH3COO]-,170.09352,negative,Histamine_[M+CH3COO]-
2-Furoic acid,[M+CH3COO]-,171.02992,negative,2-Furoic acid_[M+CH3COO]-
Uracil,[M+CH3COO]-,171.04115,negative,Uracil_[M+CH3COO]-
Creatinine,[M+CH3COO]-,172.07278,negative,Creatinine_[M+CH3COO]-
Dihydrouracil,[M+CH3COO]-,173.0568,negative,Dihydrouracil_[M+CH3COO]-
D-Proline,[M+CH3COO]-,174.0772,negative,D-Proline_[M+CH3COO]-
L-Proline,[M+CH3COO]-,174.0772,negative,L-Proline_[M+CH3COO]-
Fumarate,[M+CH3COO]-,175.02483,negative,Fumarate_[M+CH3COO]-
Maleic acid,[M+CH3COO]-,175.02483,negative,Maleic acid_[M+CH3COO]-
Levulinic acid,[M+CH3COO]-,175.06122,negative,Levulinic acid_[M+CH3COO]-
Alpha-ketoisovaleric acid,[M+CH3COO]-,175.06122,negative,Alpha-ketoisovaleric acid_[M+CH3COO]-
Isocaproic acid,[M+CH3COO]-,175.0976,negative,Isocaproic acid_[M+CH3COO]-
Caproic acid,[M+CH3COO]-,175.0976,negative,Caproic acid_[M+CH3COO]-
Acetylglycine,[M+CH3COO]-,176.05646,negative,Acetylglycine_[M+CH3COO]-
Guanidoacetic acid,[M+CH3COO]-,176.0677,negative,Guanidoacetic acid_[M+CH3COO]-
Indole,[M+CH3COO]-,176.07172,negative,Indole_[M+CH3COO]-
Betaine,[M+CH3COO]-,176.09285,negative,Betaine_[M+CH3COO]-
L-Valine,[M+CH3COO]-,176.09285,negative,L-Valine_[M+CH3COO]-
5-Aminopentanoic acid,[M+CH3COO]-,176.09285,negative,5-Aminopentanoic acid_[M+CH3COO]-
Succinate,[M+CH3COO]-,177.04048,negative,Succinate_[M+CH3COO]-
Methylmalonic acid,[M+CH3COO]-,177.04048,negative,Methylmalonic acid_[M+CH3COO]-
2-Methyl-3-hydroxybutyric acid,[M+CH3COO]-,177.07687,negative,2-Methyl-3-hydroxybutyric acid_[M+CH3COO]-
3-Hydroxyisovaleric acid,[M+CH3COO]-,177.07687,negative,3-Hydroxyisovaleric acid_[M+CH3COO]-
2-Hydroxy-3-methylbutyric acid,[M+CH3COO]-,177.07687,negative,2-Hydroxy-3-methylbutyric acid_[M+CH3COO]-
L-Threonine,[M+CH3COO]-,178.07211,negative,L-Threonine_[M+CH3COO]-
L-homoserine,[M+CH3COO]-,178.07211,negative,L-homoserine_[M+CH3COO]-
3-Mercaptopyruvic acid,[M+CH3COO]-,179.00199,negative,3-Mercaptopyruvic acid_[M+CH3COO]-
3-Methylthiopropionate,[M+CH3COO]-,179.03837,negative,3-Methylthiopropionate_[M+CH3COO]-
Purine,[M+CH3COO]-,179.05747,negative,Purine_[M+CH3COO]-
L-Cysteine,[M+CH3COO]-,180.03362,negative,L-Cysteine_[M+CH3COO]-
Benzoic acid,[M+CH3COO]-,181.05065,negative,Benzoic acid_[M+CH3COO]-
Nicotinamide,[M+CH3COO]-,181.06188,negative,Nicotinamide_[M+CH3COO]-
Erythritol,[M+CH3COO]-,181.07178,negative,Erythritol_[M+CH3COO]-
D-Threitol,[M+CH3COO]-,181.07178,negative,D-Threitol_[M+CH3COO]-
Nicotinate,[M+CH3COO]-,182.0459,negative,Nicotinate_[M+CH3COO]-
Taurine,[M+CH3COO]-,184.02854,negative,Taurine_[M+CH3COO]-
Ciliatine,[M+CH3COO]-,184.03805,negative,Ciliatine_[M+CH3COO]-
1-Methylhistamine,[M+CH3COO]-,184.10917,negative,1-Methylhistamine_[M+CH3COO]-
3-Methylhistamine,[M+CH3COO]-,184.10917,negative,3-Methylhistamine_[M+CH3COO]-
Thymine,[M+CH3COO]-,185.0568,negative,Thymine_[M+CH3COO]-
Imidazoleacetic acid,[M+CH3COO]-,185.0568,negative,Imidazoleacetic acid_[M+CH3COO]-
5-Amino-4-carbamoylimidazole (AICA),[M+CH3COO]-,185.06803,negative,5-Amino-4-carbamoylimidazole (AICA)_[M+CH3COO]-
Barbituric acid,[M+CH3COO]-,187.03606,negative,Barbituric acid_[M+CH3COO]-
Dihydrothymine,[M+CH3COO]-,187.07245,negative,Dihydrothymine_[M+CH3COO]-
Naphthalene,[M+CH3COO]-,187.07647,negative,Naphthalene_[M+CH3COO]-
L-Pyroglutamic acid,[M+CH3COO]-,188.05646,negative,L-Pyroglutamic acid_[M+CH3COO]-
L-Pipecolic acid,[M+CH3COO]-,188.09285,negative,L-Pipecolic acid_[M+CH3COO]-
Mesaconic acid,[M+CH3COO]-,189.04048,negative,Mesaconic acid_[M+CH3COO]-
Citraconic acid,[M+CH3COO]-,189.04048,negative,Citraconic acid_[M+CH3COO]-
Glutaconic acid,[M+CH3COO]-,189.04048,negative,Glutaconic acid_[M+CH3COO]-
alpha-Ketocaproic acid,[M+CH3COO]-,189.07687,negative,alpha-Ketocaproic acid_[M+CH3COO]-
3-Methyl-2-oxopentanoate,[M+CH3COO]-,189.07687,negative,3-Methyl-2-oxopentanoate_[M+CH3COO]-
Ketoleucine,[M+CH3COO]-,189.07687,negative,Ketoleucine_[M+CH3COO]-
ketoisocaproic acid,[M+CH3COO]-,189.07687,negative,ketoisocaproic acid_[M+CH3COO]-
N-Acetylputrescine,[M+CH3COO]-,189.12448,negative,N-Acetylputrescine_[M+CH3COO]-
Agmatine,[M+CH3COO]-,189.13572,negative,Agmatine_[M+CH3COO]-
5-Aminolevulinic acid,[M+CH3COO]-,190.07211,negative,5-Aminolevulinic acid_[M+CH3COO]-
Hydroxyproline,[M+CH3COO]-,190.07211,negative,Hydroxyproline_[M+CH3COO]-
N-Acetyl-L-alanine,[M+CH3COO]-,190.07211,negative,N-Acetyl-L-alanine_[M+CH3COO]-
cis-4-Hydroxy-D-proline,[M+CH3COO]-,190.07211,negative,cis-4-Hydroxy-D-proline_[M+CH3COO]-
Propionylglycine,[M+CH3COO]-,190.07211,negative,Propionylglycine_[M+CH3COO]-
Creatine,[M+CH3COO]-,190.08335,negative,Creatine_[M+CH3COO]-
L-Leucine,[M+CH3COO]-,190.1085,negative,L-Leucine_[M+CH3COO]-
L-Isoleucine,[M+CH3COO]-,190.1085,negative,L-Isoleucine_[M+CH3COO]-
L-Norleucine,[M+CH3COO]-,190.1085,negative,L-Norleucine_[M+CH3COO]-
N-Acetyl-beta-alanine,[M+CH3COO]-,190.14377,negative,N-Acetyl-beta-alanine_[M+CH3COO]-
Oxaloacetate,[M+CH3COO]-,191.01975,negative,Oxaloacetate_[M+CH3COO]-
Glutaric acid,[M+CH3COO]-,191.05613,negative,Glutaric acid_[M+CH3COO]-
Ethylmalonic acid,[M+CH3COO]-,191.05613,negative,Ethylmalonic acid_[M+CH3COO]-
L-Asparagine,[M+CH3COO]-,191.06736,negative,L-Asparagine_[M+CH3COO]-
3-Ureidopropionate,[M+CH3COO]-,191.06736,negative,3-Ureidopropionate_[M+CH3COO]-
Hydroxyisocaproic acid,[M+CH3COO]-,191.09251,negative,Hydroxyisocaproic acid_[M+CH3COO]-
5-Hydroxyhexanoic acid,[M+CH3COO]-,191.09251,negative,5-Hydroxyhexanoic acid_[M+CH3COO]-
2-Ethyl-2-Hydroxybutyric acid,[M+CH3COO]-,191.09251,negative,2-Ethyl-2-Hydroxybutyric acid_[M+CH3COO]-
Ornithine,[M+CH3COO]-,191.10375,negative,Ornithine_[M+CH3COO]-
D-Ornithine,[M+CH3COO]-,191.10375,negative,D-Ornithine_[M+CH3COO]-
L-Aspartate,[M+CH3COO]-,192.05138,negative,L-Aspartate_[M+CH3COO]-
D-Aspartic acid,[M+CH3COO]-,192.05138,negative,D-Aspartic acid_[M+CH3COO]-
Mandelonitrile,[M+CH3COO]-,192.06663,negative,Mandelonitrile_[M+CH3COO]-
L-Malic acid,[M+CH3COO]-,193.03539,negative,L-Malic acid_[M+CH3COO]-
2'-Deoxy-D-ribose,[M+CH3COO]-,193.07178,negative,2'-Deoxy-D-ribose_[M+CH3COO]-
L-Homocysteine,[M+CH3COO]-,194.04927,negative,L-Homocysteine_[M+CH3COO]-
DL-Homocysteine,[M+CH3COO]-,194.04927,negative,DL-Homocysteine_[M+CH3COO]-
S-Methyl-L-cysteine,[M+CH3COO]-,194.04927,negative,S-Methyl-L-cysteine_[M+CH3COO]-
Adenine,[M+CH3COO]-,194.06837,negative,Adenine_[M+CH3COO]-
N-Phenylacetamide,[M+CH3COO]-,194.08228,negative,N-Phenylacetamide_[M+CH3COO]-
L-Threonate,[M+CH3COO]-,195.05104,negative,L-Threonate_[M+CH3COO]-
Hypoxanthine,[M+CH3COO]-,195.05238,negative,Hypoxanthine_[M+CH3COO]-
4-Aminobenzoate,[M+CH3COO]-,196.06155,negative,4-Aminobenzoate_[M+CH3COO]-
Anthranilic acid (Vitamin L1),[M+CH3COO]-,196.06155,negative,Anthranilic acid (Vitamin L1)_[M+CH3COO]-
1-Methylnicotinamide,[M+CH3COO]-,196.08536,negative,1-Methylnicotinamide_[M+CH3COO]-
Tyramine,[M+CH3COO]-,196.09793,negative,Tyramine_[M+CH3COO]-
Trigonelline,[M+CH3COO]-,196.14987,negative,Trigonelline_[M+CH3COO]-
4-Hydroxybenzoate,[M+CH3COO]-,197.04557,negative,4-Hydroxybenzoate_[M+CH3COO]-
Gentisaldehyde,[M+CH3COO]-,197.04557,negative,Gentisaldehyde_[M+CH3COO]-
Salicylic acid,[M+CH3COO]-,197.04557,negative,Salicylic acid_[M+CH3COO]-
3-Hydroxybenzoate,[M+CH3COO]-,197.04557,negative,3-Hydroxybenzoate_[M+CH3COO]-
Urocanic acid,[M+CH3COO]-,197.0568,negative,Urocanic acid_[M+CH3COO]-
6-Hydroxynicotinic acid,[M+CH3COO]-,198.04081,negative,6-Hydroxynicotinic acid_[M+CH3COO]-
Acetyl phosphate,[M+CH3COO]-,199.00133,negative,Acetyl phosphate_[M+CH3COO]-
O-Phosphoethanolamine,[M+CH3COO]-,200.03297,negative,O-Phosphoethanolamine_[M+CH3COO]-
L-Histidinol,[M+CH3COO]-,200.10408,negative,L-Histidinol_[M+CH3COO]-
5-Hydroxymethyluracil,[M+CH3COO]-,201.05171,negative,5-Hydroxymethyluracil_[M+CH3COO]-
trans-2-Octenoic acid,[M+CH3COO]-,201.11325,negative,trans-2-Octenoic acid_[M+CH3COO]-
Caprylic acid,[M+CH3COO]-,203.1289,negative,Caprylic acid_[M+CH3COO]-
N-Acetylcadaverine,[M+CH3COO]-,203.14013,negative,N-Acetylcadaverine_[M+CH3COO]-
Isobutyrylglycine,[M+CH3COO]-,204.08776,negative,Isobutyrylglycine_[M+CH3COO]-
4-Guanidinobutyric acid,[M+CH3COO]-,204.099,negative,4-Guanidinobutyric acid_[M+CH3COO]-
Acetylcholine,[M+CH3COO]-,204.12415,negative,Acetylcholine_[M+CH3COO]-
Allysine,[M+CH3COO]-,204.17027,negative,Allysine_[M+CH3COO]-
Spermidine,[M+CH3COO]-,204.17177,negative,Spermidine_[M+CH3COO]-
alpha-ketoglutarate,[M+CH3COO]-,205.03539,negative,alpha-ketoglutarate_[M+CH3COO]-
Phenylpropiolic acid,[M+CH3COO]-,205.05065,negative,Phenylpropiolic acid_[M+CH3COO]-
3-Methylglutaric acid,[M+CH3COO]-,205.07178,negative,3-Methylglutaric acid_[M+CH3COO]-
Adipic acid,[M+CH3COO]-,205.07178,negative,Adipic acid_[M+CH3COO]-
2-Methylglutaric acid,[M+CH3COO]-,205.07178,negative,2-Methylglutaric acid_[M+CH3COO]-
Monomethyl glutaric acid,[M+CH3COO]-,205.07178,negative,Monomethyl glutaric acid_[M+CH3COO]-
L-Glutamine,[M+CH3COO]-,205.08301,negative,L-Glutamine_[M+CH3COO]-
Dimethylbenzimidazole,[M+CH3COO]-,205.09827,negative,Dimethylbenzimidazole_[M+CH3COO]-
Butyl lactate,[M+CH3COO]-,205.10816,negative,Butyl lactate_[M+CH3COO]-
L-Lysine,[M+CH3COO]-,205.1194,negative,L-Lysine_[M+CH3COO]-
O-Acetyl-L-serine,[M+CH3COO]-,206.06703,negative,O-Acetyl-L-serine_[M+CH3COO]-
L-Glutamate,[M+CH3COO]-,206.06703,negative,L-Glutamate_[M+CH3COO]-
(S)-2-Hydroxyglutarate,[M+CH3COO]-,207.05104,negative,(S)-2-Hydroxyglutarate_[M+CH3COO]-
Citramalic acid,[M+CH3COO]-,207.05104,negative,Citramalic acid_[M+CH3COO]-
trans-cinnamate,[M+CH3COO]-,207.0663,negative,trans-cinnamate_[M+CH3COO]-
Dihydroxyfumarate,[M+CH3COO]-,207.08487,negative,Dihydroxyfumarate_[M+CH3COO]-
Mevalonic acid,[M+CH3COO]-,207.08743,negative,Mevalonic acid_[M+CH3COO]-
"L-Arabinono-1,4-lactone",[M+CH3COO]-,207.12787,negative,"L-Arabinono-1,4-lactone_[M+CH3COO]-"
L-Methionine,[M+CH3COO]-,208.06492,negative,L-Methionine_[M+CH3COO]-
3-Methyladenine,[M+CH3COO]-,208.16717,negative,3-Methyladenine_[M+CH3COO]-
Tartaric acid,[M+CH3COO]-,209.03031,negative,Tartaric acid_[M+CH3COO]-
meso-Tartaric acid,[M+CH3COO]-,209.03031,negative,meso-Tartaric acid_[M+CH3COO]-
D-Ribose,[M+CH3COO]-,209.0667,negative,D-Ribose_[M+CH3COO]-
D-Xylulose,[M+CH3COO]-,209.0667,negative,D-Xylulose_[M+CH3COO]-
D-Xylose,[M+CH3COO]-,209.0667,negative,D-Xylose_[M+CH3COO]-
L-Arabinose,[M+CH3COO]-,209.0667,negative,L-Arabinose_[M+CH3COO]-
D-Lyxose,[M+CH3COO]-,209.0667,negative,D-Lyxose_[M+CH3COO]-
3-Methylphenylacetic acid,[M+CH3COO]-,209.08195,negative,3-Methylphenylacetic acid_[M+CH3COO]-
3-Phenylpropanoic acid,[M+CH3COO]-,209.08195,negative,3-Phenylpropanoic acid_[M+CH3COO]-
2-Hydroxyadenine,[M+CH3COO]-,210.06328,negative,2-Hydroxyadenine_[M+CH3COO]-
Xanthine,[M+CH3COO]-,211.0473,negative,Xanthine_[M+CH3COO]-
Oxypurinol,[M+CH3COO]-,211.0473,negative,Oxypurinol_[M+CH3COO]-
Vanillin,[M+CH3COO]-,211.06122,negative,Vanillin_[M+CH3COO]-
2-Hydroxyphenylacetic acid,[M+CH3COO]-,211.06122,negative,2-Hydroxyphenylacetic acid_[M+CH3COO]-
p-Hydroxyphenylacetic acid,[M+CH3COO]-,211.06122,negative,p-Hydroxyphenylacetic acid_[M+CH3COO]-
DL-Mandelic acid,[M+CH3COO]-,211.06122,negative,DL-Mandelic acid_[M+CH3COO]-
3-Hydroxyphenylacetic acid,[M+CH3COO]-,211.06122,negative,3-Hydroxyphenylacetic acid_[M+CH3COO]-
N1-Methyl-2-pyridone-5-carboxamide,[M+CH3COO]-,211.07245,negative,N1-Methyl-2-pyridone-5-carboxamide_[M+CH3COO]-
Ribitol,[M+CH3COO]-,211.08235,negative,Ribitol_[M+CH3COO]-
D-Arabitol,[M+CH3COO]-,211.08235,negative,D-Arabitol_[M+CH3COO]-
Xylitol,[M+CH3COO]-,211.08235,negative,Xylitol_[M+CH3COO]-
Camphor,[M+CH3COO]-,211.13398,negative,Camphor_[M+CH3COO]-
L-Arabitol,[M+CH3COO]-,211.15967,negative,L-Arabitol_[M+CH3COO]-
N1-Methyl-4-pyridone-3-carboxamide,[M+CH3COO]-,211.16447,negative,N1-Methyl-4-pyridone-3-carboxamide_[M+CH3COO]-
L-Cysteinesulfinic acid,[M+CH3COO]-,212.02345,negative,L-Cysteinesulfinic acid_[M+CH3COO]-
3-Hydroxyanthranilic acid,[M+CH3COO]-,212.05646,negative,3-Hydroxyanthranilic acid_[M+CH3COO]-
3-Aminosalicylic acid,[M+CH3COO]-,212.05646,negative,3-Aminosalicylic acid_[M+CH3COO]-
Dopamine,[M+CH3COO]-,212.09285,negative,Dopamine_[M+CH3COO]-
Dithiothreitol (DTT),[M+CH3COO]-,213.02609,negative,Dithiothreitol (DTT)_[M+CH3COO]-
"3,4-Dihydroxybenzoate (Protocatechuic acid)",[M+CH3COO]-,213.04048,negative,"3,4-Dihydroxybenzoate (Protocatechuic acid)_[M+CH3COO]-"
"2,3-Dihydroxybenzoic acid",[M+CH3COO]-,213.04048,negative,"2,3-Dihydroxybenzoic acid_[M+CH3COO]-"
Gentisic acid,[M+CH3COO]-,213.04048,negative,Gentisic acid_[M+CH3COO]-
L-Histidine,[M+CH3COO]-,214.08335,negative,L-Histidine_[M+CH3COO]-
Orotate,[M+CH3COO]-,215.03098,negative,Orotate_[M+CH3COO]-
Phosphoglycolic acid,[M+CH3COO]-,215.04517,negative,Phosphoglycolic acid_[M+CH3COO]-
L-Menthol,[M+CH3COO]-,215.16528,negative,L-Menthol_[M+CH3COO]-
L-dihydroorotate,[M+CH3COO]-,217.04663,negative,L-dihydroorotate_[M+CH3COO]-
Allantoin,[M+CH3COO]-,217.05786,negative,Allantoin_[M+CH3COO]-
Pelargonic acid,[M+CH3COO]-,217.14455,negative,Pelargonic acid_[M+CH3COO]-
CITIOLONE,[M+CH3COO]-,218.04927,negative,CITIOLONE_[M+CH3COO]-
Isovalerylglycine,[M+CH3COO]-,218.10341,negative,Isovalerylglycine_[M+CH3COO]-
DL-2-Aminooctanoic acid,[M+CH3COO]-,218.1398,negative,DL-2-Aminooctanoic acid_[M+CH3COO]-
n-Octanamide,[M+CH3COO]-,218.1398,negative,n-Octanamide_[M+CH3COO]-
2-Oxoadipic acid,[M+CH3COO]-,219.05104,negative,2-Oxoadipic acid_[M+CH3COO]-
3-Methyladipic acid,[M+CH3COO]-,219.08743,negative,3-Methyladipic acid_[M+CH3COO]-
Pimelic acid,[M+CH3COO]-,219.08743,negative,Pimelic acid_[M+CH3COO]-
D-Alanyl-D-alanine (D-Ala-D-Ala),[M+CH3COO]-,219.09866,negative,D-Alanyl-D-alanine (D-Ala-D-Ala)_[M+CH3COO]-
Tryptamine,[M+CH3COO]-,219.11392,negative,Tryptamine_[M+CH3COO]-
N6-Methyl-L-lysine,[M+CH3COO]-,219.13505,negative,N6-Methyl-L-lysine_[M+CH3COO]-
Indole-3-carboxylic acid,[M+CH3COO]-,220.06155,negative,Indole-3-carboxylic acid_[M+CH3COO]-
DL-2-Aminoadipic acid,[M+CH3COO]-,220.08268,negative,DL-2-Aminoadipic acid_[M+CH3COO]-
L-Carnitine,[M+CH3COO]-,220.11906,negative,L-Carnitine_[M+CH3COO]-
Tryptophol,[M+CH3COO]-,220.21427,negative,Tryptophol_[M+CH3COO]-
DL-4-Hydroxy-2-ketoglutarate,[M+CH3COO]-,221.03031,negative,DL-4-Hydroxy-2-ketoglutarate_[M+CH3COO]-
3-Hydorxy-3-methylglutaric acid,[M+CH3COO]-,221.0667,negative,3-Hydorxy-3-methylglutaric acid_[M+CH3COO]-
5-Hydroxy-L-lysine,[M+CH3COO]-,221.11431,negative,5-Hydroxy-L-lysine_[M+CH3COO]-
Nicotine,[M+CH3COO]-,221.24547,negative,Nicotine_[M+CH3COO]-
Acetylcysteine,[M+CH3COO]-,222.04419,negative,Acetylcysteine_[M+CH3COO]-
Tiopronin,[M+CH3COO]-,222.04419,negative,Tiopronin_[M+CH3COO]-
L-Erythro-4-Hydroxyglutamic acid,[M+CH3COO]-,222.06194,negative,L-Erythro-4-Hydroxyglutamic acid_[M+CH3COO]-
Phenylpyruvate,[M+CH3COO]-,223.06122,negative,Phenylpyruvate_[M+CH3COO]-
4-Hydroxycinnamic acid,[M+CH3COO]-,223.06122,negative,4-Hydroxycinnamic acid_[M+CH3COO]-
trans-2-Hydroxycinnamic acid,[M+CH3COO]-,223.06122,negative,trans-2-Hydroxycinnamic acid_[M+CH3COO]-
L-Fucose,[M+CH3COO]-,223.08235,negative,L-Fucose_[M+CH3COO]-
L-Rhamnose,[M+CH3COO]-,223.08235,negative,L-Rhamnose_[M+CH3COO]-
Formylanthranilic acid,[M+CH3COO]-,224.05646,negative,Formylanthranilic acid_[M+CH3COO]-
DL-Methionine sulfoxide,[M+CH3COO]-,224.05984,negative,DL-Methionine sulfoxide_[M+CH3COO]-
L-Phenylalanine,[M+CH3COO]-,224.09285,negative,L-Phenylalanine_[M+CH3COO]-
Hordenine,[M+CH3COO]-,224.12923,negative,Hordenine_[M+CH3COO]-
1-Methylxanthine,[M+CH3COO]-,225.06295,negative,1-Methylxanthine_[M+CH3COO]-
7-Methylxanthine,[M+CH3COO]-,225.06295,negative,7-Methylxanthine_[M+CH3COO]-
3-Methylxanthine,[M+CH3COO]-,225.06295,negative,3-Methylxanthine_[M+CH3COO]-
DL-3-Phenyllactic acid,[M+CH3COO]-,225.07687,negative,DL-3-Phenyllactic acid_[M+CH3COO]-
Atrolactic acid,[M+CH3COO]-,225.07687,negative,Atrolactic acid_[M+CH3COO]-
Phenyllactic acid,[M+CH3COO]-,225.07687,negative,Phenyllactic acid_[M+CH3COO]-
4-Methoxyphenylacetic acid,[M+CH3COO]-,225.07687,negative,4-Methoxyphenylacetic acid_[M+CH3COO]-
3-(3-Hydroxyphenyl)propanoic acid,[M+CH3COO]-,225.07687,negative,3-(3-Hydroxyphenyl)propanoic acid_[M+CH3COO]-
3-(2-Hydroxyphenyl)propanoate,[M+CH3COO]-,225.18777,negative,3-(2-Hydroxyphenyl)propanoate_[M+CH3COO]-
Quinolinate,[M+CH3COO]-,226.03573,negative,Quinolinate_[M+CH3COO]-
Pyridoxal (Vitamin B6),[M+CH3COO]-,226.07211,negative,Pyridoxal (Vitamin B6)_[M+CH3COO]-
Synephrine,[M+CH3COO]-,226.1085,negative,Synephrine_[M+CH3COO]-
3-Methoxytyramine,[M+CH3COO]-,226.1085,negative,3-Methoxytyramine_[M+CH3COO]-
Phosphoenolpyruvate,[M+CH3COO]-,226.99625,negative,Phosphoenolpyruvate_[M+CH3COO]-
Uric acid,[M+CH3COO]-,227.04221,negative,Uric acid_[M+CH3COO]-
3-Hydroxymandelic acid,[M+CH3COO]-,227.05613,negative,3-Hydroxymandelic acid_[M+CH3COO]-
